iata	icao	name	municipality	lat	lon
AAA	NTGA	Anaa Airport	Anaa	-17.352600	-145.509995
AAB	YARY	Arrabury Airport	Tanbar	-26.696390	141.048718
AAC	HEAR	El Arish International Airport	El Arish	31.055324	33.827964
AAD	HCAD	Adado Airport	Adado	6.095802	46.637500
AAE	DABB	Annaba Rabah Bitat Airport	Annaba	36.826781	7.813340
AAF	KAAF	Apalachicola Regional Airport	Apalachicola	29.727501	-85.027496
AAH	EDKA	Aachen-Merzbrück Airport	Aachen	50.823055	6.186389
AAI	BR-2149	Arraias Airport	Arraias	-13.025154	-46.884107
AAJ	SMCA	Cayana Airstrip	Awaradam	3.898681	-55.577907
AAK	NGUK	Aranuka Airport	Buariki	0.185278	173.636993
AAL	EKYT	Aalborg Airport	Aalborg	57.094763	9.849930
AAM	FAMD	Malamala Airport	Malamala	-24.816866	31.544085
AAN	OMAL	Al Ain International Airport	Al Ain	24.261700	55.609200
AAO	SVAN	Anaco Airport	Anaco	9.430225	-64.470726
AAP	WALS	Aji Pangeran Tumenggung Pranoto International Airport	Samarinda	-0.374478	117.250128
AAQ	URKA	Anapa Vityazevo Airport	Krasnyi Kurgan	45.002102	37.347301
AAR	EKAH	Aarhus Airport	Aarhus	56.303331	10.618286
AAS	ID-AAS	Apalapsili Airport	Apalapsili	-3.882495	139.310932
AAT	ZWAT	Altay Xuedu Airport	Altay	47.749886	88.085808
AAU	NSAU	Asau Airport	Asau	-13.505132	-172.627888
AAV	RPMA	Allah Valley Airport	Surallah	6.367903	124.752431
AAX	SBAX	Romeu Zema Airport	Araxá	-19.563200	-46.960400
AAY	OYGD	Al Ghaydah International Airport	Al Ghaydah	16.193341	52.174186
AAZ	MGQZ	Quezaltenango Airport	Quezaltenango	14.865600	-91.501999
ABA	UNAA	Abakan International Airport	Abakan	53.740002	91.385002
ABB	DNAS	Asaba International Airport	Asaba	6.204167	6.665278
